Date,Close_GOOG,High_GOOG,Low_GOOG,Open_GOOG,Volume_GOOG,MA20,MA50,MA200,DailyReturn
2022-01-25,125.87,128.46,125.52,127.56,"36,008,000.00",137.91,142.38,134.05,-0.03
2022-01-26,128.36,131.9,126.29,129.7,"39,630,000.00",137.06,141.97,134.13,0.02
2022-01-27,128.24,131.71,128.07,130.47,"30,248,000.00",136.2,141.57,134.21,0
2022-01-28,132.38,132.46,127.82,129.12,"30,518,000.00",135.56,141.26,134.3,0.03
2022-01-31,134.78,134.92,131.37,133.29,"34,056,000.00",135.12,140.99,134.4,0.02
2022-02-01,136.94,137.26,133.65,136.9,"51,204,000.00",134.76,140.74,134.52,0.02
2022-02-02,147.03,151.07,144.57,150.83,"89,750,000.00",134.94,140.7,134.68,0.07
2022-02-03,141.68,148.1,141.24,144.31,"56,930,000.00",135.19,140.61,134.82,-0.04
2022-02-04,142.04,143.55,138.87,142.04,"49,224,000.00",135.46,140.54,134.97,0
2022-02-07,137.99,142.87,137.76,142.73,"44,610,000.00",135.56,140.38,135.08,-0.03
2022-02-08,138.27,138.89,135.94,138.05,"34,256,000.00",135.59,140.31,135.2,0
2022-02-09,140.49,141.21,139.42,139.89,"28,628,000.00",135.66,140.22,135.33,0.02
2022-02-10,137.66,140.47,137.11,138.55,"33,018,000.00",135.51,140.14,135.42,-0.02
2022-02-11,133.22,138.34,132.38,137.81,"38,808,000.00",135.26,139.99,135.49,-0.03
2022-02-14,134.38,135.24,132.4,132.46,"26,792,000.00",135.04,139.82,135.56,0.01
2022-02-15,135.5,136.96,134.62,136.54,"26,578,000.00",135.04,139.7,135.64,0.01
2022-02-16,136.55,137.01,133.91,135.5,"25,610,000.00",135.13,139.58,135.74,0.01
2022-02-17,131.41,135.91,131.3,135.22,"30,968,000.00",135.08,139.26,135.81,-0.04
2022-02-18,129.58,132.91,129.42,132.13,"31,858,000.00",135.09,138.9,135.87,-0.01
2022-02-22,128.52,131,126.87,129.1,"38,906,000.00",135.05,138.53,135.92,-0.01
2022-02-23,126.72,130.85,126.64,130.19,"26,432,000.00",135.09,138.11,135.97,-0.01
2022-02-24,131.77,132.13,123.92,124.15,"43,166,000.00",135.26,137.83,136.06,0.04
2022-02-25,133.61,134.47,130.87,132.62,"26,236,000.00",135.53,137.63,136.17,0.01
2022-02-28,133.97,134.72,131.92,132.38,"29,676,000.00",135.61,137.38,136.28,0
2022-03-01,133.26,135.19,132.47,133.57,"24,640,000.00",135.53,137.17,136.37,-0.01
2022-03-02,133.84,134.69,132.53,133.69,"23,966,000.00",135.37,137.01,136.46,0
2022-03-03,133.4,135.78,132.52,135.05,"19,780,000.00",134.69,136.84,136.55,0
2022-03-04,131.22,133.29,129.52,132.48,"24,446,000.00",134.17,136.6,136.64,-0.02
2022-03-07,125.6,131.01,125.55,131.01,"39,178,000.00",133.35,136.2,136.68,-0.04
2022-03-08,126.41,130.35,125.01,125.39,"35,250,000.00",132.77,135.8,136.73,0.01
2022-03-09,132.96,133.29,129.2,130.51,"32,258,000.00",132.5,135.52,136.8,0.05
2022-03-10,131.78,132.63,130.51,130.57,"24,266,000.00",132.07,135.25,136.86,-0.01
2022-03-11,129.59,133.29,129.41,133.09,"26,600,000.00",131.66,134.93,136.9,-0.02
2022-03-14,125.88,130.14,125.55,129.69,"30,254,000.00",131.3,134.55,136.93,-0.03
2022-03-15,128.78,129.63,125.71,126.87,"30,292,000.00",131.02,134.25,136.98,0.02
2022-03-16,132.78,132.86,128.32,130.11,"32,058,000.00",130.88,134.02,137.04,0.03
2022-03-17,133.69,133.82,131.82,132.41,"23,994,000.00",130.74,133.83,137.11,0.01
2022-03-18,135.87,135.98,132.03,132.97,"45,900,000.00",130.96,133.81,137.19,0.02
2022-03-21,135.55,136.65,133.7,135.92,"26,632,000.00",131.26,133.79,137.26,0
2022-03-22,139.32,140.54,135.57,135.57,"29,776,000.00",131.8,133.85,137.34,0.03
2022-03-23,137.56,139.07,137.23,138.19,"25,302,000.00",132.34,133.85,137.41,-0.01
2022-03-24,140.35,140.44,137.1,138.33,"20,544,000.00",132.77,133.88,137.5,0.02
2022-03-25,140.56,140.99,138.75,140.79,"19,270,000.00",133.12,133.88,137.57,0
2022-03-28,140.99,141.01,138.88,139.73,"23,774,000.00",133.47,133.93,137.65,0
2022-03-29,142.28,143.18,141.52,142.19,"28,678,000.00",133.92,134,137.74,0.01
2022-03-30,141.67,142.51,141.2,141.9,"21,046,000.00",134.31,134.13,137.82,0
2022-03-31,138.7,141.67,138.67,141.48,"29,516,000.00",134.58,134.21,137.89,-0.02
